sample_id	filename	subject_id	species	pcr_target_locus	tissue	sex	age	biomaterial_provider	single_cell	time_point
9554-LI-2-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9554-LI-2/vdj_t/airr_rearrangement.tsv	s9554	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9554-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9554-LI-5/vdj_t/airr_rearrangement.tsv	s9554	human	TR	blood	NA	NA	peters_lab	TRUE	D7
9556-LI-2-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9556-LI-2/vdj_t/airr_rearrangement.tsv	s9556	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9556-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9556-LI-5/vdj_t/airr_rearrangement.tsv	s9556	human	TR	blood	NA	NA	peters_lab	TRUE	D7
1829-LI-2-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/1829-LI-2/vdj_t/airr_rearrangement.tsv	s1829	human	TR	blood	NA	NA	peters_lab	TRUE	D0
1829-LI-5-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/1829-LI-5/vdj_t/airr_rearrangement.tsv	s1829	human	TR	blood	NA	NA	peters_lab	TRUE	D7
4655-LI-2-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/4655-LI-2/vdj_t/airr_rearrangement.tsv	s4655	human	TR	blood	NA	NA	peters_lab	TRUE	D0
4655-LI-5-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/4655-LI-5/vdj_t/airr_rearrangement.tsv	s4655	human	TR	blood	NA	NA	peters_lab	TRUE	D7
7802-LI-2-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/7802-LI-2/vdj_t/airr_rearrangement.tsv	s7802	human	TR	blood	NA	NA	peters_lab	TRUE	D0
7802-LI-5-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/7802-LI-5/vdj_t/airr_rearrangement.tsv	s7802	human	TR	blood	NA	NA	peters_lab	TRUE	D7
8873-LI-2-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/8873-LI-2/vdj_t/airr_rearrangement.tsv	s8873	human	TR	blood	NA	NA	peters_lab	TRUE	D0
8873-LI-5-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/8873-LI-5/vdj_t/airr_rearrangement.tsv	s8873	human	TR	blood	NA	NA	peters_lab	TRUE	D7
9315-LI-2-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9315-LI-2/vdj_t/airr_rearrangement.tsv	s9315	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9315-LI-5-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9315-LI-5/vdj_t/airr_rearrangement.tsv	s9315	human	TR	blood	NA	NA	peters_lab	TRUE	D7
